Artist,Song,Lyrics
Avicii,Dear Boy," So bold and fine I've known you for some time Whole life changed while Bones like yours and mine Go dance in the woods and Down we go, down, down Oh boy, you're mine Do you remember old times?   Oh dear boy, I wanna follow you You're a wild boy, I am a wild girl too Oh dear boy, it’s so hollow without you In a world with everything but it won't do Oh dear boy, I wanna follow you You're a wild boy, I am a wild girl too Oh dear boy, so shallow in the blue It's our time for everything and I call you     Sweet love of mine, destruction ain't a crime For those who find love as a game like you and I Go dance in the waters of all the tears we have cried Oh boy, we're fine, do you remember our time?  Oh dear boy, I wanna follow you You're a wild boy, I am a wild girl too Oh dear boy, it’s so hollow without you In a world with everything but it won't do Oh dear boy, I wanna follow you You're a wild boy, I am a wild girl too Oh dear boy, so shallow in the blue It's our time for everything and I call you  32Embed"
Avicii,Heaven," Step out into the dawn You pray 'til, you pray 'til the lights come on And then you feel like you've just been born Yeah, you come to raise me up When I'm beaten and broken up And now I'm back in the arms I love   And I think I just died I think I just died Yeah, I think I just died I think I just died   And went to Heaven And went to Heaven, whoa   Beaten and bathed in blood I'm hit by, I'm hit by your love and drug And now you've c-come to raise me up   And I think I just died I think I just died Yeah, I think I just died  And went to Heaven And went to Heaven Whoa, and went to Heaven   Ooh, oh   It's such a night, such a beautiful night It's such a view, such a beautiful sight I think I just, oh, I think I just died, oh   And went to Heaven And went to Heaven Oh, yeah, yeah   We're gonna be birds and fly We're gonna set the world alight We're gonna lose ourselves tonight, whoa We're gonna be birds and fly We're gonna set the world alight We're gonna lose ourselves tonight, oh In Heaven 22Embed"
Avicii,The Days," Under the tree where the grass don't grow We made a promise to never get old You had a chance and you took it on me And I made a promise that I couldn't keep   Heartache, heartbreaks all over town But something flipped like a switch when you came around And I'm in pieces, pick me up and put me together    These are the days we've been waiting for On days like these who could ask for more Keep them coming 'cause we're not done yet These are the days we won't regret These are the days we won't forget These are the days we've been waiting for Rattle the cage and slam that door And the world is calling us but not just yet These are the days we won't regret These are the days we won't forget   Out on the midnight the wild ones howl The last of the lost boys have thrown in the towel We used to believe we were stars aligned You made a wish and I fell out of  Time flew, cut through all over town You made me bleed when I look up and you're not around But I'm in pieces, pick me up and put me together    These are the days we've been waiting for Neither of us knows what's in store You just roll your window down and place your bets These are the days we won't regret These are the days we'll never forget And these are the days  And these are the days   24Embed"
Avicii,Levels,"  Oh, sometimes I get a good feeling, yeah Get a feeling that I never, never, never, never had before, no no I get a good feeling, yeah Oh, sometimes I get a good feeling, yeah Get a feeling that I never, never, never, never had before, no no I get a good feeling, yeah 37Embed"
Avicii,You Make Me," We are one, one for sure All united You'll want some more  You make me  You make me We are one, one for sure All united And need some more  You make me    All my life, I've been I've been waiting for someone like you, yeah All my life, I've been I've been waiting for someone like you, yeah I've been looking for someone like you, yeah I've been waiting for someone like you Like you, like you, like you, like you, yeah You make me     We are one, one for sure All united You'll want some more  You make me  You make me We are one, one for sure All united And need some more  You make me  You make me  All my life, I've been I've been waiting for someone like you, yeah All my life, I've been I've been waiting for someone like you, yeah I've been looking for someone like you, yeah I've been waiting for someone like you Like you, like you, like you, like you, yeah You make me  44Embed"
Avicii,Friend of Mine," Hey Do you remember we said, ""Hello""? And you asked me about my Levi's T-shirt Said, ""You are a friend of mine"" My, oh my You must have saved me about a thousand times I wouldn't be the one I am today If you hadn't been a friend of mine   I ain't misbehaving I'm just telling you the truth Take my love for granted Yeah, I'll give it all to you Made me count for something Yeah, I feel it in my heart God only knows what I'd have been if you hadn't been   A friend of mine   Hey Hey, hey, hey, hey I haven't seen you around since high school How you doin', do you still remember me? Are you still a friend of mine? Guess you're still a friend of mine Guess you're still a friend of mine Now I see I see Why I get nervous when you look at me It's like your eyes are trying to tell me something That you're more than just a friend of mine That you're more than just a friend of mine, oh my  I ain't misbehaving I'm just telling you the truth Take my love for granted Yeah, I'll give it all to you Made me count for something Yeah, I feel it in my heart God only knows what I'd have been if you hadn't been   A friend of mine12Embed"
Avicii,Somewhere In Stockholm," That's me right there on the corner Listening to Wu in my Walkman Neon lights at the water, reflecting the city I'm lost in That's me right there on the corner I, one day, would be leaving For a dream that I didn't have That I'd one day would believe in Strange how the same place I ran from Is the same place I think of whenever the chance comes It's inevitable, 'cause wherever I go   I hear echoes of a thousand screams As I lay me down to sleep There's a black hole deep inside of me Reminding me, that I've lost my backbone  Somewhere in Stockholm I lost my backbone , somewhere in Stockholm   I'm from a place where we never openly show our emotions We drown our sorrows in bottomless bottles And leave them to float in the ocean I'm from a place where we never Separate people from people Some generalise, but in general I Still believe that we are treated as equals My father, my mother, my sister, my brother My friends and my family's there My hope and my money, my innocence in a sense Almost lost everything here Right where I was founded Is right where I'll be found dead The streets of my backbone, until I get back home  I hear echoes of a thousand screams As I lay me down to sleep There's a black hole deep inside of me Reminding me, that I've lost my backbone  Somewhere in Stockholm I lost my backbone , somewhere in Stockholm   I'm not alone, I am the fire that burns Not of the city but out of the 'burbs A river that's just dying of thirst I am a reverend lying in church A crack in the pattern, a miracle waiting to happen A promise that never was kept One of those moments you'll never forget I am that feeling inside The one we all know but can't really describe I am the blood spill, but I'm in love still Somewhere in Stockholm But I'm not alone Don't have to get by on my own I'm finally home Hemma i Stockholm Där jag hör hemma  I hear echoes of a thousand screams As I lay me down to sleep There's a black hole deep inside of me Reminding me, that I've lost my backbone  Somewhere in Stockholm I lost my backbone , somewhere in Stockholm4Embed"
Avicii,Pure Grinding," Working my money ‘til I get gold Monday-Friday mornin' Working my money ‘til I get gold Cause I can't get enough Working my money ‘til I get gold Monday-Friday mornin' Working my money ‘til I get gold Cause I can't get enough   Started out with nothing and I still got most of that The world ain't give me much, I'm positive that's a fact Everybody said be cool, you be payin' your dues Make a long story short, I got nothin' to lose   When I get it, I ain't ever goin' back again When I get it, I ain't ever goin' back again 100 percent, yeah, pure grindin' When I get it, I ain't ever goin' back again When I get it, I ain't ever goin' back again 100 percent, yeah, pure grindin' Oh, yeah   Working my money ‘til I get gold Monday-Friday mornin' Working my money ‘til I get gold Cause I can't get enough Working my money ‘til I get gold Monday-Friday mornin' Working my money ‘til I get gold Cause I can't get enough  Try to make a dollar out of 15 cents But I ain't understand how the money was spent My mama told me, ""Boy you ain't got no sense If we put it all together can we pay this rent?"" I've been some places Places I never should've been I caught some changes Changes that made me who I am   When I get it, I ain't ever goin' back again When I get it, I ain't ever goin' back again 100 percent, yeah, pure grindin' When I get it, I ain't ever goin' back again When I get it, I ain't ever goin' back again 100 percent, yeah, pure grindin'   Working my money ‘til I get gold Monday-Friday mornin' Working my money ‘til I get gold Cause I can't get enough Working my money ‘til I get gold Monday-Friday mornin' Working my money ‘til I get gold Cause I can't get enough Working my money ‘til I get gold Monday-Friday mornin' Working my money ‘til I get gold Cause I can't get enough7Embed"
Avicii,Tough Love," Weight is on me, weight is on you We scream and we fight like there's nothing to lose End of the day, come and take my all There’s no place I'd rather be than in your arms Weight is on you, weight is on me Sometimes I'm not who you want me to be God knows I try, we stumble and we fall There’s no place I'd rather be than in your arms   Give me tough love and a lesson to learn Your tough love is what I discern Sweet tough love, you're my pretty good luck charm There's no place I'd rather be than in your arms     Weight is on you, weight is on me Sometimes I'm not who you want me to be God knows I try, we stumble and we fall There's no place I'd rather be than in your arms   Give me tough love and a lesson to learn Your tough love is what I discern Sweet tough love, you’re my pretty good luck charm There’s no place I'd rather be than in your arms Give me tough love and a lesson to learn Your tough love is what I discern Sweet tough love, you’re my pretty good luck charm There's no place I'd rather be than in your arms30Embed"
Avicii,Hold The Line," Crossbows and arrows, the smoke in the shadows You'll lose your mind standing on the battle line Starting to choke on your heart in your throat and It feels just like you can't remember how to fight   We'll crack before we shatter We can't fall apart    We don't get to die young Trouble keeping our head sometimes We just have to push on We don't get to give up this life All the breath in your lungs Is stronger than the tears in your eyes It's do or die, but we're alive And while we're here, we'll hold the line   We'll hold the line   Don't hold your hands up, it's your final stand Put your white flag down, oh don't you surrender now No hero's story, there's no blaze of glory But dawn only comes at the end of the night  We'll crack before we shatter We can't fall apart    We don't get to die young Trouble keeping our head sometimes We just have to push on We don't get to give up this life All the breath in your lungs Is stronger than the tears in your eyes It's do or die, but we're alive And while we're here, we'll hold the line   Hold the line Hold the line   We don't get to die young We just have to push on We don't get to die young Hold the line8Embed"
Avicii,Trouble," I've been a beggar and I've been a king I've been a loner and I've worn the ring Losing myself just to find me again I'm a million miles smarter, but I ain't learned a thing I've been a teacher and a student of hurt I've kept my word for whatever that's worth Never been last, but I've never been first Oh I may not be the best, but I'm far from the worst Oh I may not be the best, but I'm far from the worst   Oh I've seen trouble more than any man should bear But I've seen enough joy, I've had more than my share And I'm still not done, I'm only halfway there I'm a million miles ahead of where I'm from But there's still another million miles to come   I keep on searching for the city of gold And I'm gonna follow this yellow brick road Thinking that maybe, it might lead me home I'm a million miles farther and a long way from home I know that there's a plan that goes way beyond mine Got to step back just to see the design The mind fears the heart, but the heart doesn't mind Oh I may not be perfect, but I'm loving this life Oh I may not be perfect, but I'm loving this life  Oh I've seen trouble more than any man should bear But I've seen enough joy, I've had more than my share And I'm still not done, I'm only halfway there I'm a million miles ahead of where I'm from But there's still another million miles to come  6Embed"
Avicii,You Be Love," You can be the potter I'll be the clay You can be the blacksmith And I'll be the blade You can be the poet And I'll be the song You can be the sunlight And I'll be the dawn   You Be Love I will be your lover  I will be your lover  You Be Love I will be your lover  Love you like no other   I will be your compass If you'll be my north I will be your sailor If you'll be my shore You can be the gravity I'll be the fall You can be my everything And I'll be your all   You Be Love I will be your lover  I will be your lover  You Be Love I will be your lover  Love you like no other   If you were heaven I would gladly take my last breath If you're the edge then I would gladly take the next step Be the rain Coming down Be the flood Come on take me 'til I, take me 'til I drown I need you now   You Be Love I will be your lover  I will be your lover  You Be Love I will be your lover  Love you like no other    You can be the poet I'll be the song You can be the sunlight I’ll be the dawn You can be my everything I’ll be your all7Embed"
Avicii,Sunset Jesus," Try'na set myself up for the win Some people got a dream that's so much bigger than the town they're in So give me love, give me love, give me peace, give me peace of mind I know that there's an ought to a start and I need a little help with mine   California, don't let me down Seems so golden, but there's struggle all around Sunset Jesus, came to me He once was a waiter, now he's a savior making money on the street   My dreams are made of gold My heart's been broken and I'm down along the road But I know, my dreams keep fading till I get old Breathe for a minute, breathe for a minute, I'll be okay   Staring at the billboard from the bus Looking at the faces, thinking that could be anyone of us So give me hope, give me hope, give me hope on this lonely ride Cause I know one day, I will be the one in the sky   California, don't let me down Seems so golden, but there's struggle all around Sunset Jesus, came to me He once was a waiter, now he's a savior making money on the street  My dreams are made of gold My heart's been broken and I'm down along the road But I know, my dreams keep fading till I get old Breathe for a minute, breathe for a minute Sunset Jesus   My dreams are made of gold My heart's been broken and I'm down along the road But I know, my dreams keep fading till I get old Breathe for a minute, breathe for a minute, I'll be okay My dreams are made of gold My heart's been broken and I'm down along the road But I know, my dreams keep fading till I get old Breathe for a minute, breathe for a minute, I'll be okay4Embed"
Avicii,Can’t Catch Me," Oh Go-go-go, oh-oh-oh   Papa, he was gone tryna make a dime Mama kept us warm when there was no sunshine I was busy building up a reputation Did a lot of things out of desperation Back up on my feet, got the motivation Now I found my faith and a good vibration   Oh-oh, oh-oh, oh-oh  Oh-oh, oh-oh, oh-oh  Oh-oh, oh-oh, oh-oh Yeah, eh-eh-eh   Search for you, love of creation When you're feeling down in this place, just replace them Keep a vision on the one you've been chasing When the time comes we'll run to the station We've been laced with the powers of creation So when the sun sets, you bet you must face them Remember when we were running 'cross the nation We were living for the here and now  You can't catch me I'll be gone by the time they come You can't catch me The war is already won Even though the children have sold their guns We must remember the fallen ones Remember the fallen ones, yeah Oh, yeah   Raised in the capital of Port-au-Prince Born with them pillars and them tenements Papa used to run from the immigration When we got to the United Station A teen under pressure, got to blend in Before the guitar I had a Mac 10 Oh-oh, oh-oh, oh-oh  Oh-oh, oh-oh, oh-oh  Oh-oh, oh-oh, oh-oh Oh-oh, oh-oh, oh-oh   Thanks for you, love of creation When you're feeling down in this place, just replace them Keep a vision on the one you've been chasing When the time comes we'll run to the station We've been laced with the powers of creation So when the sun sets, you bet you must face them Remember when we were running 'cross the nation We were living for the here and now  You can't catch me I'll be gone by the time they come You can't catch me The war is already won Even though the children have sold their guns We must remember the fallen ones Remember the fallen ones, yeah Oh, yeah2Embed"
Avicii,Liar Liar," Liar, liar! No you don't ever tell the truth Liar, liar! Can't nobody say you're fireproof   Follow you to dust Leaving footprints on the clouds as we're walking home Iron hearts all turn to rust Buy tears on the days on a diamond street It speaks apocalypse Chasing shadows, living dreams that don't exist, anymore We need to find a way Find a way Find a way Find a way Find a way   Well, we are, who we are, when we're all going under When the past with the last and will last until we're under   Liar, liar! No you don't ever tell the truth Liar, liar! Can't nobody say you're fireproof    All closed and in your head Counting heartbeats 'till the feeling's good and gone On a dull path in a rush A sad greed pouring rain over everything It will lead us to apocalypse Where the whispers and the sand and the sun eclipse, forever more We need to find a way Find a way Find a way Find a way Find a way   Well, we are, who we are, when we're all going under When the past with the last and will last until we're under   Liar, liar! No you don't ever tell the truth Liar, liar! Can't nobody say you're fireproof     People talking but I can't hear them, no I just sit there and watch them come and go There might be something underneath it all But at least I'll find the love found down the moon But at least I'll find, we'll all find out in the end13Embed"
Avicii,What Would I Change It To," Steady yourself even though you know that you're falling Maybe you're falling, but you're still alive Ready yourself, that's quite enough of your bawlin' 'Cause baby, you're bawling, but you'll survive Ooh, ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh-ooh   Losing is only a sign It's only a sign that you really tried, really tried Losing is only a sign It's only a sign that you really tried, really tried   Forever trading places with the same old me I'm racking up the cases of who I failed to be Why would I replace the sky? Why would I recreate that perfect blue? What would I change it to? Oh, won't you tell me What would I change it to? Oh, won't you tell me What would I change it to?   Ooh, ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh-ooh Ooh, ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh-ooh  You can copy and paste your head on a new body But that new body's still made of flesh And cutting corners gets you where you're going But how you get there is the real test   And losing is only a sign It's only a sign that you really tried, really tried And losing is only a sign It's only a sign that you really tried, really tried   Forever trading places with the same old me I'm racking up the cases of who I failed to be Why would I replace the sky? Why would I recreate that perfect blue? What would I change it to? Oh, won't you tell me What would I change it to? Oh, won't you tell me What would I change it to?   Ooh, ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh-ooh Ooh, ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh-ooh10Embed"
Avicii,Ten More Days," Ten more days under water And I already know I’ll be fine Ten more days till it’s over Till the darkness goes And I see the light   I’m torn between fulfilling my wildest dreams To satisfy the beast inside of me And a grounded love that raises me high above The grabbing hands of cowards and of thieves   Ten more days to find my way Ten more days till I’m awake Ten more days till I don’t have to fight I don’t need a future king There ain’t a prayer that I could sing Ten more days and I’m gonna make it right   You see my conscience betrayed me But baby I’m strong enough To take the tides The bed, it trembles beneath me But wherever the road is rough You know I’ll rise  I’m torn between fulfilling my wildest dreams To satisfy the beast inside of me And a grounded love that raises me high above The grabbing hands of cowards and of thieves   Ten more days to find my way Ten more days till I’m awake Ten more days till I don’t have to fight I don’t need a future king There ain’t a prayer that I could sing Ten more days and I’m gonna make it right6Embed"
Avicii,Heart Upon My Sleeve," With my heart upon my sleeve My head down low and I still feel broken And down upon my knees With my head down low I and I still feel broken Where are you? Where are you? I know that I need you most and A heart upon my sleeve, broken down Woah   I guess I'm just down on my luck a bit, shakin' me out of it I guess I'm just down on my luck a bit, shakin' me out of it   With my heart upon my sleeve With my head down low and I still feel broken Down upon my knees With my head down low I and I still feel broken Where are you? Where are you? I know that I need you most and A heart upon my sleeve, broken down, down, down, down6Embed"
Avicii,Bad Reputation," Can you see my emotion Sinking away in slow motion? Like a break in the ocean Just getting lost out at sea Can you see my emotion Say, can you see my devotion? Like a break in the ocean Just getting lost out at sea   I hear what you're saying, I got a bad reputation And now you got me praying for a better situation Feeling like I'm down, d-down, d-down low Feeling like I'm down, d-down, d-down low Guess it's gonna follow me wherever I go Guess it's gonna follow me, follow me, I know I got a bad reputation   I know that you've been talking You never see me sleepwalking Drifting out into nothing Rolling away in my dreams Can you feel that I'm falling? Laying awake till the morning Every word that I'm calling Just getting lost out at sea  I hear what you're saying, I got a bad reputation And now you got me praying for a better situation Feeling like I'm down, d-down, d-down low Feeling like I'm down, d-down, d-down low Guess it's gonna follow me wherever I go Guess it's gonna follow me, follow me, I know I got a bad reputation I got a bad reputation   So, you got me figured out Know what I'm all about I'm all about dollars and green Don't care about nothing but me You got me figured out You know what I'm all about Don't care about nothing but me, yeah   I hear what you're saying, I got a bad reputation And now you got me praying for a better situation Feeling like I'm down, d-down, d-down low Feeling like I'm down, d-down, d-down low Guess it's gonna follow me wherever I go Guess it's gonna follow me, follow me, I know I got a bad reputation I got a bad reputation9Embed"
Avicii,Lay Me Down," Lay-lay, lay me, lay-lay, lay me Lay-lay, lay me, lay-lay, lay me down Lay-lay, lay me, lay-lay, lay me Lay-lay, lay me, lay-lay, lay me down Lay-lay, lay me, lay-lay, lay me Lay-lay, lay me, lay-lay, lay me down   I believe, things get tough Sometimes my knees can barely hold me up, yeah I'm no fool, but it's said You gotta walk a mile to get outta my head   Come within, taste it up Take a little bit and baby don't you give up Get your life! Give a damn! You gotta make a move to show 'em where we can stand, yeah   Lay me down in darkness Tell me what you see Love is where the heart is Show me I'm the one, tell me I'm the one that you need  Lay me down in darkness  Tell me what you see Love is where the heart is Show me I'm the one, tell me I'm the one that you need   Show me I'm the one, tell me I'm the one that you need Show me I'm the one, tell me I'm the one that you need       I got the time, it'll be all right, yeah I got the time that you need, yeah   We all weep, bleed the same If you get the picture, leave it out of the frame, yeah In the now, take a chance Make a mess, and don't forget that life is a dance   Come within, taste it up Take a little bit and baby don't you give up Get your life! Give a damn! You gotta make a move to show 'em where we can stand, yeah   Lay me down in darkness Tell me what you see Love is where the heart is Show me I'm the one, tell me I'm the one that you need  Lay me down in darkness  Tell me what you see Love is where the heart is Show me I'm the one, tell me I'm the one that you need, need    Show me I'm the one, tell me I'm the one that you need, yeah Show me I'm the one, tell me I'm the one that you need Show me I'm the one, tell me I'm the one that you need Show me I'm the one, tell me I'm the one that you need   Ooh babe, show me baby, baby tell me that's me, yeah I got the time, it'll be all right, yeah I got the time that you need, yeah Come on!     Lay-lay, lay me, lay-lay, lay me down Lay-lay, lay me, lay-lay, lay me down Lay-lay, lay me, lay-lay, lay me down Lay-lay, lay me, lay-lay, lay me down Lay-lay, lay me down In darkness15Embed"
Avicii,Freak," I don't want to be seen in this shape I'm in I don't want you to see how depressed I've been, yeah You were never the high one, never wanted to die young I don't want you to see all the scars within   So, tell me why  Why am I such a freak? You're out of your mind  Who the fuck are you to judge me? And I told you I'd be different And I told you I was wild You're stuck in denial Yeah, I think that maybe you're the freak   I keep thinking about what we could have been If we hadn't been caught in what should have been, yeah Oh, we used to be dancing, never cared about nothing I don't know when we got all these scars within   So, tell me why  Why am I such a freak? You're out of your mind , no Who the fuck are you to judge me? And I told you I'd be different And I told you I was wild You're stuck in denial Yeah, I think that maybe you're the freak  Hmm, yeah Yeah, I think that maybe you're the freak You're stuck in denial Yeah, I think that maybe you're the freak   Oh, yeah, I think that maybe you're the freak Oh why, oh why Hmm Oh my, oh my Yeah, I think that maybe you're the freak Oh why, oh why Oh my, oh my Yeah, I think that maybe you're the freak7Embed"
